"ID","BasePeriodID","Species","StockID","Age","FisheryID","TimeStep","Catch","Adjusted"
44074.95,3,1,29,4,1,1,274.59,
44074.95,3,1,39,5,9,3,101.99,
44074.90,3,1,5,5,11,1,3.99,
44074.90,3,1,5,5,11,3,6.61,
44074.90,3,1,18,4,49,3,1.39,
44074.95,3,1,1,4,11,1,17.27,
44074.95,3,1,2,5,13,1,2.89,
44074.95,3,1,2,5,74,2,5.54,
44074.95,3,1,7,4,8,2,3.40,
44074.95,3,1,7,4,10,2,42.96,
44074.95,3,1,10,4,54,1,10.94,
44074.95,3,1,16,4,42,1,3.00,
44074.95,3,1,16,4,42,3,83.77,
44074.95,3,1,20,2,11,3,4.99,
44074.95,3,1,20,2,39,3,5.24,
44074.95,3,1,23,4,8,2,62.15,
44074.95,3,1,23,4,8,3,73.67,
44074.95,3,1,25,4,16,2,5.46,
44074.95,3,1,25,4,17,2,2.60,
44074.95,3,1,25,4,20,2,2.69,
44074.95,3,1,26,3,10,2,339.78,
44074.95,3,1,39,5,10,1,11.03,
44074.90,3,1,18,2,15,3,11.62,
44074.90,3,1,8,3,51,3,6.26,
44074.95,3,1,10,4,54,3,3.32,
44074.95,3,1,10,4,56,1,3.39,
44074.95,3,1,16,2,42,3,7.50,
44074.95,3,1,30,3,30,2,14.17,
44074.95,3,1,39,5,10,3,11.76,
44074.90,3,1,5,5,13,2,5.26,
44074.90,3,1,5,5,13,3,1.97,
44074.90,3,1,5,5,14,3,3.66,
44074.90,3,1,18,2,36,3,1.26,
44074.95,3,1,1,4,11,2,25.33,
44074.95,3,1,2,5,74,3,39.05,
44074.95,3,1,7,4,11,1,19.48,
44074.95,3,1,7,4,11,2,9.15,
44074.95,3,1,7,4,11,3,32.96,
44074.95,3,1,10,4,74,3,61.87,
44074.95,3,1,11,2,2,3,2.64,
44074.95,3,1,11,2,11,3,18.32,
44074.95,3,1,11,4,42,1,26.74,
44074.95,3,1,11,4,42,3,125.81,
44074.95,3,1,13,3,43,3,25.55,
44074.95,3,1,13,3,45,1,19.87,
44074.95,3,1,16,2,43,3,10.26,
44074.95,3,1,16,2,53,3,4.11,
44074.95,3,1,16,4,45,1,8.15,
44074.95,3,1,20,2,74,3,688.69,
44074.95,3,1,20,3,1,3,38.62,
44074.95,3,1,20,5,74,3,548.06,
44074.95,3,1,21,2,74,3,23.91,
44074.95,3,1,23,4,9,2,181.68,
44074.95,3,1,27,5,1,3,65.30,
44074.95,3,1,27,5,8,2,4.83,
44074.95,3,1,28,4,17,2,12.08,
44074.95,3,1,29,4,1,2,272.00,
44074.95,3,1,30,3,30,3,10.00,
44074.95,3,1,30,4,14,1,42.62,
44074.95,3,1,30,5,11,3,4.36,
44074.95,3,1,32,3,16,2,3.39,
44074.95,3,1,32,3,17,2,22.33,
44074.95,3,1,34,2,22,3,19.94,
44074.95,3,1,35,3,17,2,32.00,
44074.95,3,1,39,5,11,3,18.23,
44074.95,3,1,39,5,16,2,14.49,
44074.90,3,1,5,5,15,3,25.77,
44074.90,3,1,5,5,36,1,3.24,
44074.95,3,1,7,4,13,2,2.00,
44074.95,3,1,7,4,13,3,13.41,
44074.95,3,1,7,4,14,1,34.84,
44074.95,3,1,11,2,15,3,24.10,
44074.95,3,1,11,2,43,3,25.90,
44074.95,3,1,13,3,53,1,7.24,
44074.95,3,1,16,2,56,3,2.12,
44074.95,3,1,24,5,9,2,18.89,
44074.95,3,1,24,5,9,3,54.04,
44074.95,3,1,25,4,20,3,2.80,
44074.95,3,1,27,5,8,3,12.81,
44074.95,3,1,27,5,9,2,51.04,
44074.95,3,1,29,4,1,3,425.20,
44074.95,3,1,29,4,2,2,17.33,
44074.95,3,1,29,4,2,3,211.00,
44074.95,3,1,30,3,31,2,3.49,
44074.95,3,1,30,3,36,1,24.71,
44074.95,3,1,30,4,14,2,387.55,
44074.95,3,1,30,5,13,3,4.37,
44074.95,3,1,31,3,10,3,3.24,
44074.95,3,1,31,3,17,2,1.12,
44074.95,3,1,32,3,17,3,21.79,
44074.95,3,1,32,3,18,3,1.45,
44074.95,3,1,34,2,27,3,13.83,
44074.95,3,1,34,2,39,3,6.22,
44074.95,3,1,34,4,16,2,44.84,
44074.95,3,1,34,4,16,3,9.47,
44074.95,3,1,35,3,17,3,16.14,
44074.95,3,1,35,3,18,3,11.68,
44074.95,3,1,35,3,20,2,321.09,
