"ID","StockID","FisheryID","ShakerInclusionFlag"
1339,19,25,0
1340,19,26,0
1341,19,27,0
1342,19,28,1
1343,19,29,1
1344,19,30,0
1345,19,31,0
1346,19,32,0
1347,19,33,0
1348,19,34,0
1349,19,35,0
1350,19,36,1
1351,19,37,0
1352,19,38,0
1353,19,39,0
1354,19,40,0
1355,19,41,0
1356,19,42,0
1357,19,43,0
1358,19,44,0
1359,19,45,0
1360,19,46,0
1361,19,47,0
1362,19,48,0
1363,19,49,0
1364,19,50,0
1365,19,51,0
1366,19,52,0
1367,19,53,0
1368,19,54,0
1369,19,55,0
1370,19,56,0
1371,19,57,0
1372,19,58,0
1373,19,59,0
1374,19,60,0
1375,19,61,0
1376,19,62,0
1377,19,63,0
1378,19,64,0
1379,19,65,0
1380,19,66,0
1381,19,67,0
1382,19,68,0
1383,19,69,0
1384,19,70,0
1385,19,71,0
1386,19,72,0
1387,19,73,0
1388,20,1,1
1389,20,2,0
1390,20,3,1
1391,20,4,1
1392,20,5,0
1393,20,6,1
1394,20,7,0
1395,20,8,1
1396,20,9,1
1397,20,10,1
1398,20,11,1
1399,20,12,0
1400,20,13,0
1401,20,14,0
1402,20,15,0
1403,20,16,1
1404,20,17,1
1405,20,18,1
1406,20,19,0
1407,20,20,1
1408,20,21,1
1409,20,22,1
1410,20,23,0
1411,20,24,0
1412,20,25,0
1413,20,26,1
1414,20,27,1
1415,20,28,1
1416,20,29,0
1417,20,30,1
1418,20,31,0
1419,20,32,1
1420,20,33,0
1421,20,34,0
1422,20,35,0
1423,20,36,0
1424,20,37,0
1425,20,38,0
1426,20,39,0
1427,20,40,0
1428,20,41,0
1429,20,42,0
1430,20,43,1
1431,20,44,1
1432,20,45,0
1433,20,46,0
1434,20,47,0
1435,20,48,0
1436,20,49,0
1437,20,50,0
1438,20,51,0
1439,20,52,0
1440,20,53,0
1441,20,54,0
1442,20,55,0
1443,20,56,0
1444,20,57,0
1445,20,58,0
1446,20,59,0
1447,20,60,0
1448,20,61,0
1449,20,62,0
1450,20,63,0
1451,20,64,0
1452,20,65,0
1453,20,66,0
1454,20,67,0
1455,20,68,0
1456,20,69,0
1457,20,70,0
1458,20,71,0
1459,20,72,0
1460,20,73,0
1461,21,1,1
1462,21,2,1
1463,21,3,1
1464,21,4,1
1465,21,5,0
1466,21,6,0
1467,21,7,1
1468,21,8,1
1469,21,9,1
1470,21,10,1
1471,21,11,1
1472,21,12,0
1473,21,13,0
1474,21,14,0
1475,21,15,0
1476,21,16,1
1477,21,17,1
1478,21,18,0
1479,21,19,0
1480,21,20,1
1481,21,21,1
1482,21,22,1
1483,21,23,0
1484,21,24,0
