"BasePeriodID","StockID","Age","TimeStep","MaturationRate","RunTime"
3,22,5,3,1.00,1/11/2023 20:49:38
3,22,5,4,0.00,1/11/2023 20:49:38
3,23,2,1,0.00,1/11/2023 20:49:38
3,23,2,2,0.00,1/11/2023 20:49:38
3,23,2,3,5.794e-03,1/11/2023 20:49:38
3,23,2,4,0.00,1/11/2023 20:49:38
3,23,3,1,0.00,1/11/2023 20:49:38
3,23,3,2,6.775e-03,1/11/2023 20:49:38
3,23,3,3,0.08,1/11/2023 20:49:38
3,23,3,4,0.00,1/11/2023 20:49:38
3,23,4,1,0.00,1/11/2023 20:49:38
3,23,4,2,0.09,1/11/2023 20:49:38
3,23,4,3,0.47,1/11/2023 20:49:38
3,23,4,4,0.00,1/11/2023 20:49:38
3,23,5,1,0.00,1/11/2023 20:49:38
3,23,5,2,0.23,1/11/2023 20:49:38
3,23,5,3,1.00,1/11/2023 20:49:38
3,23,5,4,0.00,1/11/2023 20:49:38
3,24,2,1,0.00,1/11/2023 20:49:38
3,24,2,2,0.00,1/11/2023 20:49:38
3,24,2,3,0.07,1/11/2023 20:49:38
3,24,2,4,0.00,1/11/2023 20:49:38
3,24,3,1,0.00,1/11/2023 20:49:38
3,24,3,2,0.00,1/11/2023 20:49:38
3,24,3,3,0.30,1/11/2023 20:49:38
3,24,3,4,0.00,1/11/2023 20:49:38
3,24,4,1,0.00,1/11/2023 20:49:38
3,24,4,2,0.00,1/11/2023 20:49:38
3,24,4,3,0.77,1/11/2023 20:49:38
3,24,4,4,0.00,1/11/2023 20:49:38
3,24,5,1,0.00,1/11/2023 20:49:38
3,24,5,2,0.00,1/11/2023 20:49:38
3,24,5,3,1.00,1/11/2023 20:49:38
3,24,5,4,0.00,1/11/2023 20:49:38
3,25,2,1,0.17,1/11/2023 20:49:38
3,25,2,2,0.00,1/11/2023 20:49:38
3,25,2,3,0.00,1/11/2023 20:49:38
3,25,2,4,0.60,1/11/2023 20:49:38
3,25,3,1,0.60,1/11/2023 20:49:38
3,25,3,2,0.00,1/11/2023 20:49:38
3,25,3,3,0.00,1/11/2023 20:49:38
3,25,3,4,0.91,1/11/2023 20:49:38
3,25,4,1,0.91,1/11/2023 20:49:38
3,25,4,2,0.00,1/11/2023 20:49:38
3,25,4,3,0.00,1/11/2023 20:49:38
3,25,4,4,1.00,1/11/2023 20:49:38
3,25,5,1,1.00,1/11/2023 20:49:38
3,25,5,2,0.00,1/11/2023 20:49:38
3,25,5,3,1.00,1/11/2023 20:49:38
3,25,5,4,0.00,1/11/2023 20:49:38
3,26,2,1,0.05,1/11/2023 20:49:38
3,26,2,2,0.00,1/11/2023 20:49:38
3,26,2,3,0.00,1/11/2023 20:49:38
3,26,2,4,0.64,1/11/2023 20:49:38
3,26,3,1,0.64,1/11/2023 20:49:38
3,26,3,2,0.00,1/11/2023 20:49:38
3,26,3,3,0.00,1/11/2023 20:49:38
3,26,3,4,0.95,1/11/2023 20:49:38
3,26,4,1,0.95,1/11/2023 20:49:38
3,26,4,2,0.00,1/11/2023 20:49:38
3,26,4,3,0.00,1/11/2023 20:49:38
3,26,4,4,1.00,1/11/2023 20:49:38
3,26,5,1,1.00,1/11/2023 20:49:38
3,26,5,2,0.00,1/11/2023 20:49:38
3,26,5,3,1.00,1/11/2023 20:49:38
3,26,5,4,0.00,1/11/2023 20:49:38
3,27,2,1,0.00,1/11/2023 20:49:38
3,27,2,2,0.00,1/11/2023 20:49:38
3,27,2,3,0.11,1/11/2023 20:49:38
3,27,2,4,0.00,1/11/2023 20:49:38
3,27,3,1,0.00,1/11/2023 20:49:38
3,27,3,2,0.00,1/11/2023 20:49:38
3,27,3,3,0.40,1/11/2023 20:49:38
3,27,3,4,0.00,1/11/2023 20:49:38
3,27,4,1,0.00,1/11/2023 20:49:38
3,27,4,2,0.00,1/11/2023 20:49:38
