"ID","FishingYear","FishScalar","TimeStep","FisheryID","CalibrationID"
15861,1997,0.18,3,31,
15862,1997,0.00,1,32,
15863,1997,0.94,2,32,
15864,1997,0.47,3,32,
15865,1997,0.00,1,33,
15866,1997,0.45,2,33,
15867,1997,0.38,3,33,
15868,1997,0.00,1,34,
15869,1997,2.73,2,34,
15870,1997,1.54,3,34,
15871,1997,0.79,1,35,
15872,1997,1.06,2,35,
15873,1997,0.88,3,35,
15874,1997,1.19,1,36,
15875,1997,653.14,2,36,
15876,1997,0.82,3,36,
15877,1997,0.00,1,37,
15878,1997,0.00,2,37,
15879,1997,0.32,3,37,
15880,1997,0.00,1,38,
15881,1997,0.00,2,38,
15882,1997,4.89,3,38,
15883,1997,2.41,1,39,
15884,1997,0.00,2,39,
15885,1997,1.01,3,39,
15886,1997,0.98,1,40,
15887,1997,0.00,2,40,
15888,1997,0.60,3,40,
15889,1997,40.42,1,41,
15890,1997,0.00,2,41,
15891,1997,0.08,3,41,
15892,1997,2.73,1,42,
15893,1997,4339.06,2,42,
15894,1997,0.00,3,42,
15895,1997,0.00,1,43,
15896,1997,0.00,2,43,
15897,1997,0.00,3,43,
15898,1997,10.09,1,44,
15899,1997,0.00,2,44,
15900,1997,0.88,3,44,
15901,1997,3.03,1,45,
15902,1997,0.00,2,45,
15903,1997,0.00,3,45,
15904,1997,0.00,1,46,
15905,1997,0.00,2,46,
15906,1997,0.27,3,46,
15907,1997,0.00,1,47,
15908,1997,0.00,2,47,
15909,1997,2.26,3,47,
15910,1997,0.00,1,48,
15911,1997,0.00,2,48,
15912,1997,5.34,3,48,
15913,1997,0.00,1,49,
15914,1997,0.00,2,49,
15915,1997,0.00,3,49,
15916,1997,0.00,1,50,
15917,1997,0.00,2,50,
15918,1997,2.26,3,50,
15919,1997,0.16,1,51,
15920,1997,0.00,2,51,
15921,1997,0.00,3,51,
15922,1997,3.14,1,52,
15923,1997,0.00,2,52,
15924,1997,1.67,3,52,
15925,1997,9.34,1,53,
15926,1997,282.82,2,53,
15927,1997,0.12,3,53,
15928,1997,1.04,1,54,
15929,1997,783.76,2,54,
15930,1997,0.00,3,54,
15931,1997,0.00,1,55,
15932,1997,0.00,2,55,
15933,1997,0.00,3,55,
15934,1997,4.31,1,56,
15935,1997,131.62,2,56,
15936,1997,2.58,3,56,
15937,1997,5.63,1,57,
15938,1997,1.87,2,57,
15939,1997,2.19,3,57,
15940,1997,6.27,1,58,
15941,1997,0.00,2,58,
15942,1997,11.26,3,58,
15943,1997,0.79,1,59,
15944,1997,0.00,2,59,
15945,1997,9.60,3,59,
15946,1997,0.00,1,60,
15947,1997,0.00,2,60,
15948,1997,0.00,3,60,
15949,1997,0.00,1,61,
15950,1997,0.00,2,61,
15951,1997,0.96,3,61,
15952,1997,0.00,1,62,
15953,1997,0.00,2,62,
15954,1997,0.00,3,62,
15955,1997,79.72,1,63,
15956,1997,0.00,2,63,
15957,1997,0.72,3,63,
15958,1997,2.09,1,64,
15959,1997,202.08,2,64,
15960,1997,0.21,3,64,
15961,1997,0.00,1,65,
15962,1997,0.00,2,65,
15963,1997,0.00,3,65,
15964,1997,0.00,1,66,
15965,1997,0.00,2,66,
15966,1997,0.01,3,66,
15967,1997,4.07,1,67,
15968,1997,0.15,2,67,
15969,1997,1.92,3,67,
15970,1997,0.00,1,68,
15971,1997,0.00,2,68,
15972,1997,0.00,3,68,
15973,1997,0.44,1,69,
15974,1997,0.00,2,69,
15975,1997,0.26,3,69,
15976,1997,0.00,1,70,
15977,1997,0.00,2,70,
15978,1997,0.00,3,70,
15979,1997,0.28,1,71,
15980,1997,0.00,2,71,
15981,1997,0.08,3,71,
15982,1997,0.00,1,72,
15983,1997,0.00,2,72,
15984,1997,0.00,3,72,
15985,1997,0.00,1,73,
15986,1997,0.00,2,73,
15987,1997,0.00,3,73,
15988,1998,0.94,1,1,
15989,1998,0.59,2,1,
15990,1998,2.38,3,1,
15991,1998,0.00,1,2,
15992,1998,0.48,2,2,
15993,1998,1.05,3,2,
15994,1998,0.00,1,3,
15995,1998,0.97,2,3,
15996,1998,0.98,3,3,
15997,1998,0.00,1,4,
15998,1998,43.44,2,4,
15999,1998,7.47,3,4,
16000,1998,4.01,1,5,
16001,1998,0.00,2,5,
16002,1998,0.02,3,5,
16003,1998,5.4e-03,1,6,
